channel;event_id;description
Exchange;25199;New-EcpVirtualDirectory Exchange cmdlet issued
Exchange;25200;New-EdgeSubscription Exchange cmdlet issued
Exchange;25201;New-EdgeSyncServiceConfig Exchange cmdlet issued
Exchange;25202;New-EmailAddressPolicy Exchange cmdlet issued
Exchange;25203;New-ExchangeCertificate Exchange cmdlet issued
Exchange;25204;New-FederationTrust Exchange cmdlet issued
Exchange;25205;New-ForeignConnector Exchange cmdlet issued
Exchange;25206;New-GlobalAddressList Exchange cmdlet issued
Exchange;25207;New-InboxRule Exchange cmdlet issued
Exchange;25208;New-JournalRule Exchange cmdlet issued
Exchange;25209;New-Mailbox Exchange cmdlet issued
Exchange;25210;New-MailboxAuditLogSearch Exchange cmdlet issued
Exchange;25211;New-MailboxDatabase Exchange cmdlet issued
Exchange;25212;New-MailboxFolder Exchange cmdlet issued
Exchange;25213;New-MailboxRepairRequest Exchange cmdlet issued
Exchange;25214;New-MailboxRestoreRequest Exchange cmdlet issued
Exchange;25215;New-MailContact Exchange cmdlet issued
Exchange;25216;New-MailMessage Exchange cmdlet issued
Exchange;25217;New-MailUser Exchange cmdlet issued
Exchange;25218;New-ManagedContentSettings Exchange cmdlet issued
Exchange;25219;New-ManagedFolder Exchange cmdlet issued
Exchange;25220;New-ManagedFolderMailboxPolicy Exchange cmdlet issued
Exchange;25221;New-ManagementRole Exchange cmdlet issued
Exchange;25222;New-ManagementRoleAssignment Exchange cmdlet issued
Exchange;25223;New-ManagementScope Exchange cmdlet issued
Exchange;25224;New-MessageClassification Exchange cmdlet issued
Exchange;25225;New-MoveRequest Exchange cmdlet issued
Exchange;25226;New-OabVirtualDirectory Exchange cmdlet issued
Exchange;25227;New-OfflineAddressBook Exchange cmdlet issued
Exchange;25228;New-OrganizationRelationship Exchange cmdlet issued
Exchange;25229;New-OutlookProtectionRule Exchange cmdlet issued
Exchange;25230;New-OutlookProvider Exchange cmdlet issued
Exchange;25231;New-OwaMailboxPolicy Exchange cmdlet issued
Exchange;25232;New-OwaVirtualDirectory Exchange cmdlet issued
Exchange;25233;New-PublicFolder Exchange cmdlet issued
Exchange;25234;New-PublicFolderDatabase Exchange cmdlet issued
Exchange;25235;New-PublicFolderDatabaseRepairRequest Exchange cmdlet issued
Exchange;25236;New-ReceiveConnector Exchange cmdlet issued
Exchange;25237;New-RemoteDomain Exchange cmdlet issued
Exchange;25238;New-RemoteMailbox Exchange cmdlet issued
Exchange;25239;New-RetentionPolicy Exchange cmdlet issued
Exchange;25240;New-RetentionPolicyTag Exchange cmdlet issued
Exchange;25241;New-RoleAssignmentPolicy Exchange cmdlet issued
Exchange;25242;New-RoleGroup Exchange cmdlet issued
Exchange;25243;New-RoutingGroupConnector Exchange cmdlet issued
Exchange;25244;New-RpcClientAccess Exchange cmdlet issued
Exchange;25245;New-SendConnector Exchange cmdlet issued
Exchange;25246;New-SharingPolicy Exchange cmdlet issued
Exchange;25247;New-SystemMessage Exchange cmdlet issued
Exchange;25248;New-ThrottlingPolicy Exchange cmdlet issued
Exchange;25249;New-TransportRule Exchange cmdlet issued
Exchange;25250;New-UMAutoAttendant Exchange cmdlet issued
Exchange;25251;New-UMDialPlan Exchange cmdlet issued
Exchange;25252;New-UMHuntGroup Exchange cmdlet issued
Exchange;25253;New-UMIPGateway Exchange cmdlet issued
Exchange;25254;New-UMMailboxPolicy Exchange cmdlet issued
Exchange;25255;New-WebServicesVirtualDirectory Exchange cmdlet issued
Exchange;25256;New-X400AuthoritativeDomain Exchange cmdlet issued
Exchange;25257;Remove-AcceptedDomain Exchange cmdlet issued
Exchange;25258;Remove-ActiveSyncDevice Exchange cmdlet issued
Exchange;25259;Remove-ActiveSyncDeviceAccessRule Exchange cmdlet issued
Exchange;25260;Remove-ActiveSyncDeviceClass Exchange cmdlet issued
Exchange;25261;Remove-ActiveSyncMailboxPolicy Exchange cmdlet issued
Exchange;25262;Remove-ActiveSyncVirtualDirectory Exchange cmdlet issued
Exchange;25263;Remove-AddressList Exchange cmdlet issued
Exchange;25264;Remove-ADPermission Exchange cmdlet issued
Exchange;25265;Remove-AutodiscoverVirtualDirectory Exchange cmdlet issued
Exchange;25266;Remove-AvailabilityAddressSpace Exchange cmdlet issued
Exchange;25267;Remove-AvailabilityReportOutage Exchange cmdlet issued
Exchange;25268;Remove-ClientAccessArray Exchange cmdlet issued
Exchange;25269;Remove-ContentFilterPhrase Exchange cmdlet issued
Exchange;25270;Remove-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25271;Remove-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued
Exchange;25272;Remove-DatabaseAvailabilityGroupServer Exchange cmdlet issued
Exchange;25273;Remove-DeliveryAgentConnector Exchange cmdlet issued
Exchange;25274;Remove-DistributionGroup Exchange cmdlet issued
Exchange;25275;Remove-DistributionGroupMember Exchange cmdlet issued
Exchange;25276;Remove-DynamicDistributionGroup Exchange cmdlet issued
Exchange;25277;Remove-EcpVirtualDirectory Exchange cmdlet issued
Exchange;25278;Remove-EdgeSubscription Exchange cmdlet issued
Exchange;25279;Remove-EmailAddressPolicy Exchange cmdlet issued
Exchange;25280;Remove-ExchangeCertificate Exchange cmdlet issued
Exchange;25281;Remove-FederatedDomain Exchange cmdlet issued
Exchange;25282;Remove-FederationTrust Exchange cmdlet issued
Exchange;25283;Remove-ForeignConnector Exchange cmdlet issued
Exchange;25284;Remove-GlobalAddressList Exchange cmdlet issued
Exchange;25285;Remove-InboxRule Exchange cmdlet issued
Exchange;25286;Remove-IPAllowListEntry Exchange cmdlet issued
Exchange;25287;Remove-IPAllowListProvider Exchange cmdlet issued
Exchange;25288;Remove-IPBlockListEntry Exchange cmdlet issued
Exchange;25289;Remove-IPBlockListProvider Exchange cmdlet issued
Exchange;25290;Remove-JournalRule Exchange cmdlet issued
Exchange;25291;Remove-Mailbox Exchange cmdlet issued
Exchange;25292;Remove-MailboxDatabase Exchange cmdlet issued
Exchange;25293;Remove-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25294;Remove-MailboxFolderPermission Exchange cmdlet issued
Exchange;25295;Remove-MailboxPermission Exchange cmdlet issued
Exchange;25296;Remove-MailboxRestoreRequest Exchange cmdlet issued
Exchange;25297;Remove-MailContact Exchange cmdlet issued
Exchange;25298;Remove-MailUser Exchange cmdlet issued
Exchange;25299;Remove-ManagedContentSettings Exchange cmdlet issued
Exchange;25300;Remove-ManagedFolder Exchange cmdlet issued
Exchange;25301;Remove-ManagedFolderMailboxPolicy Exchange cmdlet issued
Exchange;25302;Remove-ManagementRole Exchange cmdlet issued
Exchange;25303;Remove-ManagementRoleAssignment Exchange cmdlet issued
Exchange;25304;Remove-ManagementRoleEntry Exchange cmdlet issued
Exchange;25305;Remove-ManagementScope Exchange cmdlet issued
Exchange;25306;Remove-Message Exchange cmdlet issued
Exchange;25307;Remove-MessageClassification Exchange cmdlet issued
Exchange;25308;Remove-MoveRequest Exchange cmdlet issued
Exchange;25309;Remove-OabVirtualDirectory Exchange cmdlet issued
Exchange;25310;Remove-OfflineAddressBook Exchange cmdlet issued
Exchange;25311;Remove-OrganizationRelationship Exchange cmdlet issued
Exchange;25312;Remove-OutlookProtectionRule Exchange cmdlet issued
Exchange;25313;Remove-OutlookProvider Exchange cmdlet issued
Exchange;25314;Remove-OwaMailboxPolicy Exchange cmdlet issued
Exchange;25315;Remove-OwaVirtualDirectory Exchange cmdlet issued
Exchange;25316;Remove-PublicFolder Exchange cmdlet issued
Exchange;25317;Remove-PublicFolderAdministrativePermission Exchange cmdlet issued
Exchange;25318;Remove-PublicFolderClientPermission Exchange cmdlet issued
Exchange;25319;Remove-PublicFolderDatabase Exchange cmdlet issued
Exchange;25320;Remove-ReceiveConnector Exchange cmdlet issued
Exchange;25321;Remove-RemoteDomain Exchange cmdlet issued
Exchange;25322;Remove-RemoteMailbox Exchange cmdlet issued
Exchange;25323;Remove-RetentionPolicy Exchange cmdlet issued
Exchange;25324;Remove-RetentionPolicyTag Exchange cmdlet issued
Exchange;25325;Remove-RoleAssignmentPolicy Exchange cmdlet issued
Exchange;25326;Remove-RoleGroup Exchange cmdlet issued
Exchange;25327;Remove-RoleGroupMember Exchange cmdlet issued
Exchange;25328;Remove-RoutingGroupConnector Exchange cmdlet issued
Exchange;25329;Remove-RpcClientAccess Exchange cmdlet issued
Exchange;25330;Remove-SendConnector Exchange cmdlet issued
Exchange;25331;Remove-SharingPolicy Exchange cmdlet issued
Exchange;25332;Remove-StoreMailbox Exchange cmdlet issued
Exchange;25333;Remove-SystemMessage Exchange cmdlet issued
Exchange;25334;Remove-ThrottlingPolicy Exchange cmdlet issued
Exchange;25335;Remove-TransportRule Exchange cmdlet issued
Exchange;25336;Remove-UMAutoAttendant Exchange cmdlet issued
Exchange;25337;Remove-UMDialPlan Exchange cmdlet issued
Exchange;25338;Remove-UMHuntGroup Exchange cmdlet issued
Exchange;25339;Remove-UMIPGateway Exchange cmdlet issued
Exchange;25340;Remove-UMMailboxPolicy Exchange cmdlet issued
Exchange;25341;Remove-WebServicesVirtualDirectory Exchange cmdlet issued
Exchange;25342;Remove-X400AuthoritativeDomain Exchange cmdlet issued
Exchange;25343;Restore-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25344;Restore-DetailsTemplate Exchange cmdlet issued
Exchange;25345;Restore-Mailbox Exchange cmdlet issued
Exchange;25346;Resume-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25347;Resume-MailboxExportRequest Exchange cmdlet issued
Exchange;25348;Resume-MailboxRestoreRequest Exchange cmdlet issued
Exchange;25349;Resume-Message Exchange cmdlet issued
Exchange;25350;Resume-MoveRequest Exchange cmdlet issued
Exchange;25351;Resume-PublicFolderReplication Exchange cmdlet issued
Exchange;25352;Resume-Queue Exchange cmdlet issued
Exchange;25353;Retry-Queue Exchange cmdlet issued
Exchange;25354;Send-TextMessagingVerificationCode Exchange cmdlet issued
Exchange;25355;Set-AcceptedDomain Exchange cmdlet issued
Exchange;25356;Set-ActiveSyncDeviceAccessRule Exchange cmdlet issued
Exchange;25357;Set-ActiveSyncMailboxPolicy Exchange cmdlet issued
Exchange;25358;Set-ActiveSyncOrganizationSettings Exchange cmdlet issued
Exchange;25359;Set-ActiveSyncVirtualDirectory Exchange cmdlet issued
Exchange;25360;Set-AddressList Exchange cmdlet issued
Exchange;25361;Set-AdminAuditLogConfig Exchange cmdlet issued
Exchange;25362;Set-ADServerSettings Exchange cmdlet issued
Exchange;25363;Set-ADSite Exchange cmdlet issued
Exchange;25364;Set-AdSiteLink Exchange cmdlet issued
Exchange;25365;Set-AutodiscoverVirtualDirectory Exchange cmdlet issued
Exchange;25366;Set-AvailabilityConfig Exchange cmdlet issued
Exchange;25367;Set-AvailabilityReportOutage Exchange cmdlet issued
Exchange;25368;Set-CalendarNotification Exchange cmdlet issued
Exchange;25369;Set-CalendarProcessing Exchange cmdlet issued
Exchange;25370;Set-CASMailbox Exchange cmdlet issued
Exchange;25371;Set-ClientAccessArray Exchange cmdlet issued
Exchange;25372;Set-ClientAccessServer Exchange cmdlet issued
Exchange;25373;Set-CmdletExtensionAgent Exchange cmdlet issued
Exchange;25374;Set-Contact Exchange cmdlet issued
Exchange;25375;Set-ContentFilterConfig Exchange cmdlet issued
Exchange;25376;Set-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25377;Set-DatabaseAvailabilityGroupNetwork Exchange cmdlet issued
Exchange;25378;Set-DeliveryAgentConnector Exchange cmdlet issued
Exchange;25379;Set-DetailsTemplate Exchange cmdlet issued
Exchange;25380;Set-DistributionGroup Exchange cmdlet issued
Exchange;25381;Set-DynamicDistributionGroup Exchange cmdlet issued
Exchange;25382;Set-EcpVirtualDirectory Exchange cmdlet issued
Exchange;25383;Set-EdgeSyncServiceConfig Exchange cmdlet issued
Exchange;25384;Set-EmailAddressPolicy Exchange cmdlet issued
Exchange;25385;Set-EventLogLevel Exchange cmdlet issued
Exchange;25386;Set-ExchangeAssistanceConfig Exchange cmdlet issued
Exchange;25387;Set-ExchangeServer Exchange cmdlet issued
Exchange;25388;Set-FederatedOrganizationIdentifier Exchange cmdlet issued
Exchange;25389;Set-FederationTrust Exchange cmdlet issued
Exchange;25390;Set-ForeignConnector Exchange cmdlet issued
Exchange;25391;Set-GlobalAddressList Exchange cmdlet issued
Exchange;25392;Set-Group Exchange cmdlet issued
Exchange;25393;Set-ImapSettings Exchange cmdlet issued
Exchange;25394;Set-InboxRule Exchange cmdlet issued
Exchange;25395;Set-IPAllowListConfig Exchange cmdlet issued
Exchange;25396;Set-IPAllowListProvider Exchange cmdlet issued
Exchange;25397;Set-IPAllowListProvidersConfig Exchange cmdlet issued
Exchange;25398;Set-IPBlockListConfig Exchange cmdlet issued
Exchange;25399;Set-IPBlockListProvider Exchange cmdlet issued
Exchange;25400;Set-IPBlockListProvidersConfig Exchange cmdlet issued
Exchange;25401;Set-IRMConfiguration Exchange cmdlet issued
Exchange;25402;Set-JournalRule Exchange cmdlet issued
Exchange;25403;Set-Mailbox Exchange cmdlet issued
Exchange;25404;Set-MailboxAuditBypassAssociation Exchange cmdlet issued
Exchange;25405;Set-MailboxAutoReplyConfiguration Exchange cmdlet issued
Exchange;25406;Set-MailboxCalendarConfiguration Exchange cmdlet issued
Exchange;25407;Set-MailboxCalendarFolder Exchange cmdlet issued
Exchange;25408;Set-MailboxDatabase Exchange cmdlet issued
Exchange;25409;Set-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25410;Set-MailboxFolderPermission Exchange cmdlet issued
Exchange;25411;Set-MailboxJunkEmailConfiguration Exchange cmdlet issued
Exchange;25412;Set-MailboxMessageConfiguration Exchange cmdlet issued
Exchange;25413;Set-MailboxRegionalConfiguration Exchange cmdlet issued
Exchange;25414;Set-MailboxRestoreRequest Exchange cmdlet issued
Exchange;25415;Set-MailboxServer Exchange cmdlet issued
Exchange;25416;Set-MailboxSpellingConfiguration Exchange cmdlet issued
Exchange;25417;Set-MailContact Exchange cmdlet issued
Exchange;25418;Set-MailPublicFolder Exchange cmdlet issued
Exchange;25419;Set-MailUser Exchange cmdlet issued
Exchange;25420;Set-ManagedContentSettings Exchange cmdlet issued
Exchange;25421;Set-ManagedFolder Exchange cmdlet issued
Exchange;25422;Set-ManagedFolderMailboxPolicy Exchange cmdlet issued
Exchange;25423;Set-ManagementRoleAssignment Exchange cmdlet issued
Exchange;25424;Set-ManagementRoleEntry Exchange cmdlet issued
Exchange;25425;Set-ManagementScope Exchange cmdlet issued
Exchange;25426;Set-MessageClassification Exchange cmdlet issued
Exchange;25427;Set-MoveRequest Exchange cmdlet issued
Exchange;25428;Set-OabVirtualDirectory Exchange cmdlet issued
Exchange;25429;Set-OfflineAddressBook Exchange cmdlet issued
Exchange;25430;Set-OrganizationConfig Exchange cmdlet issued
Exchange;25431;Set-OrganizationRelationship Exchange cmdlet issued
Exchange;25432;Set-OutlookAnywhere Exchange cmdlet issued
Exchange;25433;Set-OutlookProtectionRule Exchange cmdlet issued
Exchange;25434;Set-OutlookProvider Exchange cmdlet issued
Exchange;25435;Set-OwaMailboxPolicy Exchange cmdlet issued
Exchange;25436;Set-OwaVirtualDirectory Exchange cmdlet issued
Exchange;25437;Set-PopSettings Exchange cmdlet issued
Exchange;25438;Set-PowerShellVirtualDirectory Exchange cmdlet issued
Exchange;25439;Set-PublicFolder Exchange cmdlet issued
Exchange;25440;Set-PublicFolderDatabase Exchange cmdlet issued
Exchange;25441;Set-ReceiveConnector Exchange cmdlet issued
Exchange;25442;Set-RecipientFilterConfig Exchange cmdlet issued
Exchange;25443;Set-RemoteDomain Exchange cmdlet issued
Exchange;25444;Set-RemoteMailbox Exchange cmdlet issued
Exchange;25445;Set-ResourceConfig Exchange cmdlet issued
Exchange;25446;Set-RetentionPolicy Exchange cmdlet issued
Exchange;25447;Set-RetentionPolicyTag Exchange cmdlet issued
Exchange;25448;Set-RoleAssignmentPolicy Exchange cmdlet issued
Exchange;25449;Set-RoleGroup Exchange cmdlet issued
Exchange;25450;Set-RoutingGroupConnector Exchange cmdlet issued
Exchange;25451;Set-RpcClientAccess Exchange cmdlet issued
Exchange;25452;Set-SendConnector Exchange cmdlet issued
Exchange;25453;Set-SenderFilterConfig Exchange cmdlet issued
Exchange;25454;Set-SenderIdConfig Exchange cmdlet issued
Exchange;25455;Set-SenderReputationConfig Exchange cmdlet issued
Exchange;25456;Set-SharingPolicy Exchange cmdlet issued
Exchange;25457;Set-SystemMessage Exchange cmdlet issued
Exchange;25458;Set-TextMessagingAccount Exchange cmdlet issued
Exchange;25459;Set-ThrottlingPolicy Exchange cmdlet issued
Exchange;25460;Set-ThrottlingPolicyAssociation Exchange cmdlet issued
Exchange;25461;Set-TransportAgent Exchange cmdlet issued
Exchange;25462;Set-TransportConfig Exchange cmdlet issued
Exchange;25463;Set-TransportRule Exchange cmdlet issued
Exchange;25464;Set-TransportServer Exchange cmdlet issued
Exchange;25465;Set-UMAutoAttendant Exchange cmdlet issued
Exchange;25466;Set-UMDialPlan Exchange cmdlet issued
Exchange;25467;Set-UMIPGateway Exchange cmdlet issued
Exchange;25468;Set-UMMailbox Exchange cmdlet issued
Exchange;25469;Set-UMMailboxPIN Exchange cmdlet issued
Exchange;25470;Set-UMMailboxPolicy Exchange cmdlet issued
Exchange;25471;Set-UmServer Exchange cmdlet issued
Exchange;25472;Set-User Exchange cmdlet issued
Exchange;25473;Set-WebServicesVirtualDirectory Exchange cmdlet issued
Exchange;25474;Set-X400AuthoritativeDomain Exchange cmdlet issued
Exchange;25475;Start-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25476;Start-EdgeSynchronization Exchange cmdlet issued
Exchange;25477;Start-ManagedFolderAssistant Exchange cmdlet issued
Exchange;25478;Start-RetentionAutoTagLearning Exchange cmdlet issued
Exchange;25479;Stop-DatabaseAvailabilityGroup Exchange cmdlet issued
Exchange;25480;Stop-ManagedFolderAssistant Exchange cmdlet issued
Exchange;25481;Suspend-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25482;Suspend-MailboxRestoreRequest Exchange cmdlet issued
Exchange;25483;Suspend-Message Exchange cmdlet issued
Exchange;25484;Suspend-MoveRequest Exchange cmdlet issued
Exchange;25485;Suspend-PublicFolderReplication Exchange cmdlet issued
Exchange;25486;Suspend-Queue Exchange cmdlet issued
Exchange;25487;Test-ActiveSyncConnectivity Exchange cmdlet issued
Exchange;25488;Test-AssistantHealth Exchange cmdlet issued
Exchange;25489;Test-CalendarConnectivity Exchange cmdlet issued
Exchange;25490;Test-EcpConnectivity Exchange cmdlet issued
Exchange;25491;Test-EdgeSynchronization Exchange cmdlet issued
Exchange;25492;Test-ExchangeSearch Exchange cmdlet issued
Exchange;25493;Test-FederationTrust Exchange cmdlet issued
Exchange;25494;Test-FederationTrustCertificate Exchange cmdlet issued
Exchange;25495;Test-ImapConnectivity Exchange cmdlet issued
Exchange;25496;Test-IPAllowListProvider Exchange cmdlet issued
Exchange;25497;Test-IPBlockListProvider Exchange cmdlet issued
Exchange;25498;Test-IRMConfiguration Exchange cmdlet issued
Exchange;25499;Test-Mailflow Exchange cmdlet issued
Exchange;25500;Test-MAPIConnectivity Exchange cmdlet issued
Exchange;25501;Test-MRSHealth Exchange cmdlet issued
Exchange;25502;Test-OrganizationRelationship Exchange cmdlet issued
Exchange;25503;Test-OutlookConnectivity Exchange cmdlet issued
Exchange;25504;Test-OutlookWebServices Exchange cmdlet issued
Exchange;25505;Test-OwaConnectivity Exchange cmdlet issued
Exchange;25506;Test-PopConnectivity Exchange cmdlet issued
Exchange;25507;Test-PowerShellConnectivity Exchange cmdlet issued
Exchange;25508;Test-ReplicationHealth Exchange cmdlet issued
Exchange;25509;Test-SenderId Exchange cmdlet issued
Exchange;25510;Test-ServiceHealth Exchange cmdlet issued
Exchange;25511;Test-SmtpConnectivity Exchange cmdlet issued
Exchange;25512;Test-SystemHealth Exchange cmdlet issued
Exchange;25513;Test-UMConnectivity Exchange cmdlet issued
Exchange;25514;Test-WebServicesConnectivity Exchange cmdlet issued
Exchange;25515;Uninstall-TransportAgent Exchange cmdlet issued
Exchange;25516;Update-AddressList Exchange cmdlet issued
Exchange;25517;Update-DistributionGroupMember Exchange cmdlet issued
Exchange;25518;Update-EmailAddressPolicy Exchange cmdlet issued
Exchange;25519;Update-FileDistributionService Exchange cmdlet issued
Exchange;25520;Update-GlobalAddressList Exchange cmdlet issued
Exchange;25521;Update-MailboxDatabaseCopy Exchange cmdlet issued
Exchange;25522;Update-OfflineAddressBook Exchange cmdlet issued
Exchange;25523;Update-PublicFolder Exchange cmdlet issued
Exchange;25524;Update-PublicFolderHierarchy Exchange cmdlet issued
